08-11-18,348.5,357.579987,348.440002,351.399994,351.399994,7090700
09-11-18,349,354,345.230011,350.51001,350.51001,5098800
12-11-18,348.369995,349.779999,330.339996,331.279999,331.279999,6941500
13-11-18,333.160004,344.700012,332.200012,338.730011,338.730011,5448600
14-11-18,342.700012,347.109985,337.149994,344,344,5040300
15-11-18,342.329987,348.579987,339.040009,348.440002,348.440002,4625700
16-11-18,345.190002,355.700012,345.119995,354.309998,354.309998,7206200
19-11-18,356.339996,366.75,352.880005,353.470001,353.470001,9708900
20-11-18,341.75,349.799988,333.549988,347.48999,347.48999,8004700
21-11-18,352,353.100006,337.399994,338.190002,338.190002,4686800
23-11-18,334.350006,337.5,325.549988,325.829987,325.829987,4202600
26-11-18,325,346.220001,325,346,346,7992100
27-11-18,340.049988,346.959991,335.5,343.920013,343.920013,6358300
28-11-18,345.98999,348.279999,342.209991,347.869995,347.869995,4115600
